title,job_type,city,code,hc,max_salary,min_salary
分布式存储开发工程师（性能/可靠性方向）,基础架构,北京,TF9L,5,50,25
Kubernetes 技术专家（云原生）,基础架构,杭州,JEBHL,2,60,30
存储系统研发工程师（新硬件方向）,基础架构,北京,J9FF2,3,60,30
芯片IP研发流程专家,基础架构,上海,JESUV,5,40,20
网络虚拟化资深研发工程师,基础架构,深圳,AXQL,3,40,25
高级前端开发工程师 - 移动平台,基础架构,北京,JR46L,5,60,30
SOC仿真建模（ARM）,基础架构,深圳,97UV,2,50,25
IaaS产品运营,基础架构,上海,598V,10,50,20
网络开发工程师-北京,基础架构,北京,VSEV,1,50,30
高级研发工程师 - CloudIDE - WebContainer 方向,基础架构,上海,JSHKP,5,40,20
图计算研发工程师/架构师,基础架构,北京,81CW1,5,60,30
NoSQL系统研发工程师,基础架构,北京,J4VGL,5,50,30
解决方案架构师 - 效能体系 - DevOps方向,基础架构,北京,PQFL,5,60,30
云原生半结构化数据库架构师,基础架构,深圳,J3YUV,5,60,30
云计算PaaS产品SRE工程师,基础架构,深圳,JFA3V,10,50,20
虚拟化工程师,基础架构,杭州,866F1,10,50,25
解决方案架构师（存储&数据库&中间件方向）,基础架构,上海,2KU2,10,70,25
SOC前端设计（ARM）,基础架构,上海,NLMP,2,50,25
高级研发工程师 - 效能体系 - DevOps方向,基础架构,北京,NFFL,5,60,30
网络系统研发工程师,基础架构,深圳,P0104,2,40,25
云计算存储产品SRE工程师,基础架构,北京,KC3V,10,50,20
服务端架构师 - 云平台,基础架构,北京,KKFL,5,60,30
数据库基础组件-高级工程师,基础架构,北京,JH8GL,5,45,30
Diag工程师,基础架构,北京,96FP,2,40,20
高级研发工程师 - CloudIDE - 工具链方向,基础架构,杭州,JMRAL,3,60,30
ARM软硬件生态工程师 ,基础架构,上海,HBLL,3,40,20
后端设计工程师,基础架构,深圳,J6VEV,8,40,20
服务器/SoC固件研发工程师,基础架构,深圳,J89LL,5,40,20
火山引擎云原生大数据JAVA工程师/架构师,基础架构,上海,BWVV,10,60,30
高级研发工程师 - 效能体系 - 协同工具方向,基础架构,北京,MJFL,5,60,30
IDC高级项目管理工程师,基础架构,上海,LBPL,2,40,20
Spark开发工程师/架构师,基础架构,北京,BRAL,3,60,30
性能分析优化平台研发工程师,基础架构,杭州,33MP,10,60,30
高级研发工程师 - 效能体系 - DevOps方向,基础架构,深圳,2FL,5,60,30
SOC架构设计（ARM）,基础架构,上海,MHMP,2,50,25
