title,job_type,city,code,hc,max_salary,min_salary
iOS Tech Leader-番茄小说,客户端,深圳,JXYXP,2,80,40
Android开发（高级）工程师-端智能,客户端,深圳,42Q2,10,50,25
游戏技术美术-朝夕光年,客户端,杭州,R9TH1,2,40,20
客户端Android/iOS研发工程师,客户端,北京,QR81,5,40,20
Android开发工程师 — 垂直业务,客户端,北京,8CVQ1,2,50,25
iOS 开发专家 ,客户端,杭州,JJA4P,4,50,30
Android基础技术工程师-编译构建,客户端,杭州,7T3P,5,60,20
iOS研发工程师-生活服务,客户端,成都,JH36V,5,55,28
Android开发工程师 - 短视频（用户增长方向）,客户端,上海,J5D3P,10,40,25
客户端技术负责人-游戏业务,客户端,深圳,JXE12,2,50,25
Android开发（高级）工程师 -音乐,客户端,杭州,9REP,10,70,20
短视频-Android高级工程师,客户端,上海,HF3P,10,50,30
Android架构师 - 抖音（成都）,客户端,成都,9W51,5,60,30
Android Framework工程师,客户端,上海,NNLP,10,50,25
SDK架构师-飞书,客户端,北京,JHCM1,5,50,30
PC 端C++开发工程师（Chromium） — 飞书（北京/上海）,客户端,北京,J4CM1,1,60,30
Android leader—今日头条,客户端,深圳,JLRL1,1,80,40
虚拟机开发（高级）工程师,客户端,杭州,4GCP,10,60,30
资深客户端开发工程师 — 飞书,客户端,上海,JYV31,5,40,20
iOS开发工程师—搜索方向,客户端,广州,BXJ1,15,50,25
Android研发工程师 — 住小帮,客户端,北京,8R3P,10,50,30
高级iOS开发工程师 - 剪映,客户端,深圳,VPL1,3,40,20
高级iOS开发工程师-成人与创新,客户端,北京,RKRQ1,1,40,20
高级游戏客户端开发工程师-绿洲-朝夕光年,客户端,北京,JYQ81,5,50,25
Android研发工程师-广告系统,客户端,深圳,5VF1,6,50,25
iOS资深研发工程师  - 基础体验优化,客户端,北京,3L3V,15,50,25
Android/iOS开发工程师（实习）-国际化直播,客户端,广州,JUL8P,20,40,25
iOS研发负责人-抖音直播,客户端,北京,PRQV,2,90,50
Android开发（高级）工程师 - 技术中台方向,客户端,深圳,JAH41,20,40,20
Android开发工程师 - 懂车帝,客户端,杭州,NEK2,3,35,25
Android/iOS 开发工程师（智能创作方向）,客户端,广州,JLFVV,4,60,30
Windows直播研发工程师-视频架构,客户端,深圳,J6PKV,5,50,25
iOS研发高级工程师 - 学浪,客户端,北京,JDWN1,5,50,25
Android研发工程师-生活服务,客户端,成都,JYT6V,5,45,25
Android架构师-抖音电商C端,客户端,杭州,J7PU2,20,55,35
客户端研发工程师-国际化电商,客户端,北京,JK92V,10,35,20
基础架构开发工程师-PC端-教育线,客户端,上海,SXFP,10,50,30
Android开发leader-飞书,客户端,广州,YY42,3,50,25
Android研发负责人 — 抖音（杭州）,客户端,杭州,81EW1,5,70,40
Android客户端负责人-抖音,客户端,深圳,JU5KP,1,100,50
资深客户端研发工程师/架构师-抖音跨平台,客户端,上海,ATC1,10,60,30
Android研发-生活服务,客户端,上海,M86V,10,60,40
iOS架构师 - 抖音社交,客户端,北京,8MH51,5,60,30
iOS研发工程师（商业化方向） - 剪映,客户端,广州,J9LL,3,60,30
iOS开发（高级）工程师,客户端,上海,4BB1,10,40,20
Unity3D 开发工程师,客户端,广州,JARVV,1,50,25
客户端研发工程师 - iOS/安卓方向/PC方向,客户端,北京,J3YSP,5,50,20
抖音Android高级工程师 - 搜索方向,客户端,北京,U7X1,5,60,30
Android研发工程师-抖音电商商家平台,客户端,北京,6U9V,20,35,20
iOS开发（高级）工程师 - 技术中台方向,客户端,深圳,JQR41,20,40,20
资深Android研发工程师 — 抖音商业化,客户端,北京,JHM2P,3,80,40
iOS研发工程师 — 抖音创作工具,客户端,杭州,JGTA1,5,50,25
游戏安全iOS客户端工程师,客户端,深圳,JXLRP,10,50,25
抖音iOS基础技术 - Swift方向 - iOS资深研发工程师,客户端,北京,JRSCP,8,50,25
UE4游戏通用引擎开发（资深）工程师-无双工作室-朝夕光年,客户端,上海,NLQP,5,50,25
iOS研发工程师-抖音社交,客户端,上海,BPC1,5,50,20
iOS资深研发工程师-抖音iOS基础技术,客户端,深圳,J23S2,10,60,30
网络协议研发工程师/专家 ,客户端,杭州,LWU1,10,60,30
Windows直播研发工程师-视频架构,客户端,北京,QYDV,5,50,25
iOS开发（高级）工程师-端智能,客户端,深圳,DLQ2,10,50,25
渲染引擎（高级）开发工程师,客户端,杭州,J4GCP,10,60,30
Android研发工程师 — 抖音/抖音火山版/直播,客户端,北京,J1AA1,10,50,25
Android开发工程师—文档浏览方向,客户端,深圳,J4GJP,10,50,25
C++开发工程师——文档浏览方向,客户端,上海,JSAJP,5,50,20
iOS 安全研发工程师,客户端,北京,JJX9P,1,50,25
Android开发工程师 — 抖音直播,客户端,深圳,JHDM1,15,50,30
Android开发（高级）工程师 — 今日头条,客户端,深圳,J5KBP,20,40,20
Android Tech Leader-番茄小说,客户端,深圳,4PDP,2,80,40
C++开发工程师—文档浏览方向,客户端,深圳,SGJP,10,50,25
高级iOS 开发工程师 （抖音开放平台）,客户端,北京,JQ59V,5,50,25
Android资深研发工程师-抖音电商C端,客户端,杭州,4742,20,45,35
移动端Flutter开发-飞书,客户端,深圳,J1PNP,3,50,25
客户端开发leader - 番茄小说,客户端,广州,JKFVP,1,50,25
Android开发工程师 — 抖音创作工具,客户端,杭州,JPAA1,5,50,25
VR游戏移植工程师（unreal/unity）-Pico,客户端,北京,JBLVV,10,50,25
BSP系统工程师-Pico,客户端,北京,3N5V,1,50,25
Android开发（高级）工程师 - 国际支付,客户端,北京,JMC52,4,50,25
Unity高级研发工程师 - 懂车帝,客户端,北京,JU7E1,1,25,15
Android 开发工程师 （抖音开放平台）,客户端,北京,JVB8V,2,40,20
多端互联开发工程师-Pico,客户端,北京,JDJ5V,1,40,25
iOS开发（高级）工程师-小说,客户端,广州,JWJVP,15,50,25
C++高级开发工程师-Pico,客户端,青岛,X1DV,5,50,25
macOS研发工程师 - 飞书（北京/成都）,客户端,北京,43VV,5,50,25
高级iOS客户端研发工程师 — 穿山甲,客户端,北京,RLQD1,2,60,30
iOS高级研发工程师 — 飞书视频会议,客户端,上海,88M31,5,50,25
Android开发工程师-创新业务,客户端,广州,JGASL,20,40,20
资深Android开发工程师 — 飞书,客户端,深圳,JXNY1,5,60,30
Android高级研发工程师-飞书视频会议,客户端,上海,MLS1,5,50,25
客户端研发工程师/专家 - Android方向,客户端,北京,J5USP,5,50,20
客户端Android/iOS开发工程师-开言,客户端,北京,J73JP,3,50,25
iOS开发工程师-飞书文档,客户端,深圳,6VYV,5,60,30
移动端音视频开发工程师,客户端,北京,JQNQ1,5,50,25
Audio软件开发工程师-Pico,客户端,北京,2WQV,1,60,25
Flutter开发（高级）工程师-房产（北/上）,客户端,北京,JBM4P,10,50,25
Android 开发工程师 — 开发者生态,客户端,北京,RYFX1,2,40,20
客户端跨平台工程师 - 短视频（隐私安全）,客户端,上海,WS3P,5,50,25
客户端开发工程师-跨端方向,客户端,杭州,J7XU1,5,60,20
Android Framework高级软件开发工程师,客户端,北京,VVH1,1,30,15
iOS研发工程师-生活服务,客户端,上海,F46V,10,60,40
iOS开发高级工程师 - 懂车帝,客户端,北京,8X1S1,3,35,25
iOS架构师-短视频产品,客户端,上海,J53P,5,60,30
iOS研发负责人 — 抖音/抖音火山版/直播,客户端,北京,J3TT1,5,60,30
iOS开发（高级）工程师 - 国际支付,客户端,北京,VA52,4,50,25
iOS研发工程师 — 商业化,客户端,北京,JK5QP,10,50,20
移动端研发专家 — 多媒体SDK,客户端,上海,RBGQ1,5,50,25
验证码客户端Android/iOS开发工程师,客户端,北京,JVRBV,1,50,25
macOS开发工程师 — lark,客户端,深圳,J9MM1,3,40,20
智能创作解决方案研发工程师(C++/PC方向),客户端,广州,LFVV,4,60,30
客户端 Leader-生活服务,客户端,杭州,JYG9V,2,75,50
iOS开发工程师-Cloud IDE,客户端,深圳,2AQP,15,50,25
Android开发技术专家（北京/杭州/深圳）,客户端,北京,PH61,2,80,50
客户端安全研发专家,客户端,杭州,JGR9P,1,50,30
资深移动端专家,客户端,上海,W7ML,2,80,50
Android研发工程师（播放体验）-抖音基础技术,客户端,北京,63J1,10,55,30
资深Android系统优化工程师-Pico,客户端,北京,JQASL,20,70,40
Android研发负责人 — 抖音/抖音火山版/直播,客户端,北京,J88T1,5,60,30
Android/iOS 开发工程师（智能创作方向）,客户端,深圳,JRDRP,4,40,20
Android研发工程师-生活服务,客户端,北京,JKUJ2,30,60,30
Android 开发工程师-飞书开放平台,客户端,北京,R1SR1,5,60,40
Android/iOS开发（高级）工程师-小说,客户端,北京,RC1K1,5,40,20
iOS研发工程师（社区方向） - 剪映,客户端,广州,JEBLL,3,60,30
iOS开发（高级）工程师-小说,客户端,深圳,YXJ1,15,50,25
iOS自动化测试研发工程师-抖音iOS基础技术,客户端,广州,JJUJ2,10,60,30
iOS开发（高级）工程师 — 今日头条,客户端,深圳,6KBP,20,50,25
资深iOS开发工程师,客户端,北京,KBLP,2,50,25
Android研发工程师-抖音社交,客户端,北京,PAY1,5,60,30
iOS开发工程师-创新业务,客户端,广州,JSSL,20,40,20
跨平台音视频SDK研发工程师-iOS/MacOS 方向,客户端,深圳,PX2P,5,50,25
iOS研发工程师-抖音电商,客户端,上海,SEWP,30,35,26
Android开发工程师 — 抖音直播,客户端,广州,J7WP,15,50,30
生产工具软件开发工程师-Pico,客户端,北京,JDG5V,1,40,25
Android 开发工程师-飞书开放平台,客户端,杭州,Q4M1,3,60,30
iOS研发高级工程师 — 用户增长方向,客户端,北京,RRM31,20,50,25
抖音iOS基础技术 - Swift方向 - iOS架构师,客户端,北京,GRCP,8,50,30
iOS研发工程师-生活服务,客户端,北京,J152,30,60,30
iOS开发工程师-飞书开放平台,客户端,杭州,JGH61,2,50,30
Android研发工程师-短视频（杭州）,客户端,杭州,JJG3P,10,50,25
Android研发工程师（商业化方向） - 国际化剪映,客户端,广州,RNLL,3,60,30
客户端研发工程师-抖音电商,客户端,上海,D7GP,20,45,35
客户端安全高级研发,客户端,深圳,X89P,1,70,40
高级iOS开发工程师 — 基础技术,客户端,杭州,8W5D1,10,50,30
Android开发（高级）工程师 — 用户增长方向,客户端,北京,RJG21,3,50,25
BSP内核工程师-Pico,客户端,北京,885V,1,50,25
Android/iOS开发（高级）工程师-平台架构,客户端,北京,QVM1,8,40,20
Android开发工程师-飞书文档,客户端,深圳,KECV,5,60,30
跨平台客户端架构师-今日头条,客户端,三亚,N1661A,3,80,40
iOS研发工程师 - 剪映素材生态,客户端,深圳,JQTQL,3,60,30
iOS研发工程师（商业化方向） - 国际化剪映,客户端,广州,66LL,3,60,30
iOS研发工程师（商业化方向） - 国际化剪映,客户端,三亚,J59LL,3,60,30
iOS研发工程师（基础技术方向） - 国际化剪映,客户端,三亚,J3NLL,3,60,30
Android研发工程师（商业化方向） - 国际化剪映,客户端,三亚,HGLL,3,60,30
iOS研发工程师（社区方向） - 国际化剪映,客户端,深圳,56LL,3,60,30
iOS研发工程师（社区方向） - 国际化剪映,客户端,广州,XALL,3,60,30
Android研发工程师（基础技术方向） - 国际化剪映,客户端,三亚,JRGLL,3,60,30
iOS研发工程师（工具方向） - 国际化剪映,客户端,三亚,JJ6LL,3,60,30
iOS研发工程师（基础技术方向） - 剪映,客户端,深圳,JACLL,3,60,30
Android研发工程师（社区方向） - 国际化剪映,客户端,三亚,SNLL,3,60,30
iOS研发工程师（工具方向） - 国际化剪映,客户端,深圳,3GLL,3,60,30
Android研发工程师（工具方向） - 国际化剪映,客户端,三亚,JJ9LL,3,60,30
Android研发工程师（社区方向） - 剪映,客户端,三亚,J6LL,3,60,30
iOS研发工程师（工具方向） - 剪映,客户端,三亚,JUBLL,3,60,30
Android研发工程师（工具方向） - 剪映,客户端,三亚,D9LL,3,60,30
Android开发工程师,客户端,北京,8QNQ1,3,36,18
iOS开发工程师,客户端,北京,88BL1,3,36,18
Android开发工程师,客户端,北京,JCQDP,5,36,18
Android 开发工程师 — 小程序,客户端,深圳,J3RW1,4,40,20
Android工程师 — 抖音（杭州）,客户端,杭州,RXLF1,10,50,25
iOS 开发工程师 — 小程序,客户端,深圳,R53W1,4,40,20
客户端研发工程师/专家 - PC方向,客户端,深圳,CWRP,5,60,30
游戏技术美术,客户端,上海,HWPP,1,50,25
iOS开发工程师 - 国际化直播,客户端,深圳,JYWP,3,50,25
iOS开发工程师 — faceu,客户端,深圳,GKL1,5,40,20
windows开发工程师,客户端,北京,9YL1,5,40,20
Android开发工程师 - 国际化直播,客户端,深圳,JH4WP,10,50,25
iOS开发工程师,客户端,北京,R3DP,5,40,20
iOS开发高级工程师 - 飞书,客户端,北京,8AJK1,5,40,20
高级Android开发工程师-成人与创新,客户端,北京,T3Q1,1,50,25
实时通信（音视频）客户端开发工程师 ,客户端,北京,N4XP,3,50,25
Android研发工程师 — 抖音智能终端,客户端,北京,JBE81,10,50,25
Windows客户端研发工程师,客户端,上海,JM6QP,20,50,25
Android研发工程师-国际化社区,客户端,北京,RBP1,4,35,20
Android基础技术Leader,客户端,上海,RREM1,1,100,50
游戏客户端开发工程师-绿洲-朝夕光年,客户端,北京,8AAH1,1,35,25
Android开发（高级）工程师 - 游戏业务,客户端,深圳,JV71P,20,40,20
Android/iOS SDK开发工程师（企业产品方向）,客户端,深圳,JCWEP,4,40,20
Unity3D游戏开发工程师-绿洲-朝夕光年,客户端,北京,JTQA1,10,50,25
Android高级开发工程师 — 终端技术,客户端,北京,JDLR1,10,40,25
C++客户端高级研发工程师,客户端,北京,4WR1,1,40,20
AI-Lab 语音研发工程师 — 客户端方向,客户端,北京,RFQD1,4,50,25
客户端研发工程师/专家 - Android方向,客户端,深圳,JYMRP,5,60,30
iOS研发工程师-国际化社区,客户端,北京,81EP1,5,35,20
PCDN客户端研发工程师,客户端,北京,RWLQ1,3,40,20
iOS工程师 — 抖音（杭州）,客户端,杭州,XLF1,10,50,25
iOS开发高级工程师,客户端,北京,8DYL1,3,40,20
iOS开发（高级）工程师 - 游戏业务,客户端,深圳,J771P,20,40,20
iOS开发工程师 — 飞书,客户端,深圳,FWK1,3,50,25
客户端研发工程师-Data&AILab,客户端,北京,RVKD1,10,40,20
Android（高级）开发工程师 - 新业务,客户端,北京,JB9UP,10,50,30
Flutter 工程师-客户端基础架构部,客户端,杭州,4UN1,10,60,30
iOS开发工程师-抖音,客户端,深圳,Y84P,10,60,30
高级Android开发工程师 — 教育,客户端,深圳,RJHF1,20,60,30
PCDN客户端研发工程师,客户端,深圳,J4JRP,5,50,25
资深Android开发工程师-飞书,客户端,广州,JRCWP,3,70,35
iOS开发（高级）工程师 - 国际支付,客户端,上海,UHP2,2,40,20
智能创作解决方案研发工程师(iOS/Android方向),客户端,深圳,3VWP,4,40,20
Android （高级）开发工程师 - 国际化电商达人生态,客户端,上海,J8QD2,10,50,25
Unity研发工程师-Pico,客户端,北京,JVKD2,10,60,30
移动端研发专家 — 多媒体SDK,客户端,北京,8DFL1,5,50,25
iOS资深开发工程师 - 抖音性能优化方向,客户端,杭州,JJEWP,5,60,30
客户端leader-房产,客户端,北京,JHT7P,1,100,40
客户端安全研发工程师-Android 安全研发工程师,客户端,杭州,JYW9P,10,50,30
资深iOS开发工程师-飞书,客户端,广州,RG8R1,3,50,25
基础架构开发工程师-PC端-教育线,客户端,北京,H6WP,5,40,20
客户端研发工程师/专家 - iOS方向,客户端,深圳,JNWRP,5,60,30
Android Tech Leader-西瓜视频,客户端,厦门,JPQCP,2,45,35
iOS（高级）开发工程师-新业务,客户端,北京,4BUP,10,50,30
Android开发工程师-抖音,客户端,深圳,JXN4P,10,60,30
Windows开发高级工程师 ,客户端,北京,JTJK1,5,40,20
Android研发工程师-抖音,客户端,北京,RKVP,3,50,25
游戏引擎开发工程师-绿洲-朝夕光年,客户端,北京,PJH1,1,35,22
客户端全栈工程师 - 抖音iOS基础技术,客户端,广州,5152,10,60,30
（资深）Android研发工程师 — 直播,客户端,杭州,JTJ1,10,50,30
Android高级研发工程师 - 懂车帝,客户端,北京,3PS1,3,55,25
iOS开发工程师 — 飞书视频会议,客户端,上海,JEFR1,5,50,25
iOS开发工程师-效率工程,客户端,北京,QNR1,3,40,20
Android研发工程师 - 抖音（成都）,客户端,成都,W51,10,50,25
游戏AI研发工程师,客户端,杭州,8Q4W1,3,50,25
iOS开发高级工程师 - 懂车帝,客户端,北京,JDF31,3,35,25
Android开发工程师 — 飞书视频会议,客户端,杭州,BCFP,5,40,20
客户端Leader - 教育,客户端,上海,J1GRP,1,70,40
Android研发工程师-国际直播,客户端,北京,FDMP,30,60,25
高级iOS开发工程师 — 终端技术,客户端,北京,R5B21,5,50,25
移动端跨平台框架开发工程师,客户端,上海,R5UQ1,3,50,30
Android/iOS开发工程师-西瓜视频,客户端,厦门,2QCP,5,45,20
终端智能(AI)高级研发工程师,客户端,深圳,JJWN1,10,50,25
Android安全研发工程师,客户端,深圳,7U8P,5,50,20
跨平台开发工程师,客户端,杭州,JTHF1,10,50,30
跨平台客户端C++工程师-飞书,客户端,成都,86CP,5,70,40
文档浏览引擎开发工程师,客户端,上海,7JVP,5,60,20
Flutter工程师—移动平台,客户端,深圳,Q8TP,10,50,25
iOS安全研发工程师,客户端,深圳,JM48P,5,60,20
 Android leader-房产-上海,客户端,上海,JQS4P,2,70,40
iOS开发（高级）工程师 - 音乐,客户端,深圳,79Y1,15,60,30
虚拟机开发（高级）工程师,客户端,上海,J9P71,5,50,25
iOS研发负责人 - 抖音（成都）,客户端,成都,R9W51,1,70,35
iOS架构师 - 抖音基础技术,客户端,杭州,VUA1,5,60,30
C++开发（高级）工程师 — 开放平台方向,客户端,北京,87S1,5,40,20
跨平台客户端C++工程师-飞书,客户端,上海,J2NBP,5,70,40
Android高级开发工程师 — 国际化直播,客户端,广州,SSAP,10,80,40
iOS开发（高级）工程师 - 技术社区,客户端,北京,XPDP,6,60,30
iOS高级开发工程师 - 短视频产品（用户增长方向）,客户端,上海,JHK3P,5,50,25
实时通信SDK研发工程师(北京/上海/杭州),客户端,北京,J1JK1,5,40,20
Android/iOS开发（高级）工程师-西瓜视频,客户端,上海,RSGF1,5,50,25
Android资深研发工程师-抖音电商C端,客户端,上海,3TC1,5,45,35
UE4开发（资深）工程师-无双工作室-朝夕光年,客户端,上海,JBD2P,3,50,30
Android研发Leader-抖音电商C端,客户端,上海,AMKP,1,55,35
iOS 资深研发工程师-直播,客户端,杭州,MF3P,10,60,20
客户端研发工程师-Android-广告创意中心,客户端,上海,Y4RP,5,70,35
Android核心研发工程师 - 国际直播,客户端,深圳,JYR5V,20,60,30
iOS开发工程师（中级/高级）,客户端,深圳,8Y4K1,3,50,25
Windows客户端研发工程师,客户端,北京,AEW1,5,40,20
文档浏览引擎开发工程师,客户端,深圳,JJ5JP,10,50,25
客户端研发负责人-电商方向,客户端,北京,J4W7P,2,65,45
Android开发工程师 - 抖音创作工具,客户端,深圳,86YH1,5,50,30
Android开发工程师 - 抖音创作工具,客户端,广州,JDKU1,5,50,30
客户端Android/iOS开发工程师-抖音直播（北京/上海/深圳/杭州/成都）,客户端,北京,8HFD1,30,80,50
iOS 开发工程师 — 小程序,客户端,北京,JNFX1,2,40,20
Android研发工程师 — 直播,客户端,北京,J2GR1,10,50,30
客户端跨端leader-抖音（杭州）,客户端,杭州,JQVWP,1,80,40
跨平台开发工程师-游戏安全,客户端,深圳,JV3YP,10,50,25
Android研发负责人 - 抖音（成都）,客户端,成都,J1W51,1,70,35
Windows开发工程师,客户端,上海,8CXQ1,5,50,20
C++开发（高级/资深）工程师,客户端,广州,GXCP,10,50,25
高级iOS开发工程师 — 飞书,客户端,深圳,8LFK1,3,50,25
端智能应用工程师（iOS/Android）,客户端,深圳,2HVP,10,50,25
Android隐私安全工程师,客户端,广州,JM512,2,50,25
Android开发（高级）工程师 - 音乐,客户端,深圳,P9Y1,15,50,30
iOS开发工程师 — 飞书视频会议,客户端,杭州,KGFP,5,50,25
Android架构师 - 抖音,客户端,深圳,JUBF1,11,40,25
C++开发工程师 — 客户端,客户端,北京,RN2V1,3,40,20
Android（高级）开发工程师-西瓜视频,客户端,杭州,JR7D1,10,60,25
C++开发（高级/资深）工程师,客户端,北京,8GEM1,5,50,25
RTC引擎资深研发工程师,客户端,深圳,J7GGP,2,60,30
iOS开发（高级）工程师 - 抖音音乐,客户端,上海,J3PC1,5,50,25
iOS研发工程师（基础技术方向） - 国际化剪映,客户端,广州,YWLL,3,60,30
Android开发工程师——文档浏览方向,客户端,上海,BTJP,5,50,20
iOS开发（高级）工程师-房产（北/上/杭）,客户端,北京,A34P,10,50,25
游戏引擎开发工程师-朝夕光年,客户端,杭州,R8TH1,3,40,20
UE4游戏开发工程师,客户端,北京,3LA1,10,35,20
技术顾问（企业产品方向）,客户端,深圳,JJXRP,4,40,20
iOS核心研发工程师 - 国际直播,客户端,深圳,JDF5V,20,60,30
智能创作解决方案研发工程师(C++/PC方向),客户端,深圳,E3WP,4,40,20
客户端开发（高级）工程师-房产（北/上/杭）,客户端,北京,JW94P,10,50,25
iOS研发工程师- 抖音（成都）,客户端,成都,R1W51,5,50,25
高级iOS开发工程师-抖音/火山直播,客户端,北京,QW22,20,50,25
游戏引擎开发工程师,客户端,上海,81KW1,5,50,25
iOS架构师 - 抖音（成都）,客户端,成都,RRM51,5,60,30
Android客户端负责人-互娱研发,客户端,深圳,8UW1,1,60,30
iOS高级开发工程师 - 国际化直播,客户端,广州,JP28P,15,50,25
客户端安全研发工程师-iOS 安全研发工程师,客户端,杭州,JAF9P,10,50,30
Android开发（高级）工程师-房产（北/上/杭）,客户端,北京,RH4P,10,50,25
iOS核心研发工程师 - 国际直播,客户端,广州,BQ5V,20,60,30
iOS客户端负责人-抖音/抖音火山版/直播/影像,客户端,广州,U5KP,1,60,30
iOS基础技术leader,客户端,北京,CKC1,2,70,40
移动端音视频开发工程师,客户端,深圳,J7AQ1,5,50,25
全栈工程师 — 抖音移动平台,客户端,成都,TBG1,5,60,30
iOS Leader - 抖音,客户端,上海,P6SP,1,70,40
游戏语音SDK 架构师/工程师（RTC方向）—视频架构,客户端,杭州,TCQP,10,60,30
客户端高级开发工程师-幸福里,客户端,上海,VV7P,1,80,40
Android开发（高级）工程师 - 音乐,客户端,上海,J82C1,5,50,25
iOS开发工程师 - 重庆 - 懂车帝,客户端,重庆,JSSVP,3,35,25
多媒体研发专家-RTC,客户端,三亚,A4DV,10,60,30
iOS资深研发工程师 - 国际化短视频产品,客户端,上海,JR63P,15,60,35
iOS开发工程师（中级/高级） — 飞书,客户端,深圳,8WWK1,3,50,25
Android研发工程师（社区方向） - 国际化剪映,客户端,广州,J17LL,3,60,30
高级客户端研发工程师（iOS）— 穿山甲,客户端,上海,8PB1,5,50,30
高级iOS开发工程师 - 剪映,客户端,三亚,JDFAP,3,60,30
引擎开发工程师,客户端,杭州,8EHF1,10,50,30
Android开发工程师,客户端,广州,8H4W1,20,40,20
移动端leader - 抖音（成都）,客户端,成都,N891,1,70,35
Android开发（高级）工程师 - 国际支付,客户端,上海,JEHP2,2,40,20
跨平台音视频SDK研发工程师-Linux方向,客户端,深圳,J6D2P,5,50,25
客户端全栈工程师 - 抖音iOS基础技术,客户端,深圳,J43S2,10,60,30
iOS（高级）研发工程师 - 抖音（成都）,客户端,成都,RCC51,10,60,30
客户端研发工程师/专家 - PC方向,客户端,北京,JABSP,5,50,20
移动端音视频直播SDK开发工程师,客户端,深圳,JG3RP,5,50,25
实时通信C++软件开发工程师,客户端,深圳,WXGP,5,50,25
iOS/Android 技术专家-飞书,客户端,深圳,JRLGP,10,60,30
iOS开发工程师 - 懂车帝,客户端,杭州,J62J2,3,35,25
iOS隐私安全工程师,客户端,深圳,9N12,2,50,25
游戏服务器引擎开发工程师-朝夕光年,客户端,杭州,R41M1,3,40,20
iOS开发工程师 — 抖音直播,客户端,深圳,J5XM1,15,50,30
iOS架构师-抖音社交,客户端,上海,JG2C1,5,60,35
全栈工程师 — 移动平台,客户端,成都,JBWKP,5,60,30
iOS客户端负责人-抖音/抖音火山版/直播/影像,客户端,深圳,M1FP,1,60,30
iOS开发工程师——文档浏览方向,客户端,上海,J9TJP,5,50,20
客户端架构师-教育,客户端,上海,JJDRP,10,60,30
iOS 研发工程师-短视频产品,客户端,杭州,JV162,5,55,35
C++客户端开发工程师,客户端,杭州,869F1,5,40,20
短视频-Android架构师,客户端,上海,JMK3P,10,60,30
客户端Android/iOS开发工程师-抖音青少年,客户端,北京,X96P,5,50,25
Android开发（高级）工程师 - 技术中台方向,客户端,北京,82A61,10,45,25
程序分析工程师,客户端,深圳,JQV91,15,50,25
智能创作跨平台研发工程师-抖音,客户端,广州,JN6WP,5,50,30
Android研发工程师（品质体验）——抖音基础技术,客户端,北京,JKA9P,10,55,30
Android开发工程师—今日头条,客户端,北京,JTWJ1,10,50,25
Android资深研发工程师-抖音电商C端,客户端,北京,85PS1,3,45,35
Android隐私安全工程师,客户端,深圳,JE512,2,50,25
跨平台客户端C++工程师-飞书,客户端,深圳,JJSHP,5,60,30
Rust/C++工程师,客户端,北京,8PJS1,1,80,50
Android 开发（高级）工程师,客户端,杭州,J1KU1,10,60,30
游戏安全反外挂工程师,客户端,深圳,JERYP,10,50,25
Android系统软件工程师(图形方向),客户端,杭州,JLWU1,10,60,30
Android研发工程师 — 抖音基础技术,客户端,北京,8YLF1,10,50,25
iOS开发工程师 - 短视频产品（用户增长方向）,客户端,上海,JRF3P,5,40,25
iOS（高级）开发工程师-教育,客户端,上海,JAYWP,20,45,23
Camera底层研发Leader-Pico,客户端,北京,JTPV,1,60,45
高级iOS开发工程师 — 教育,客户端,深圳,JQBM1,5,40,20
西瓜客户端研发工程师 - Android/iOS,客户端,北京,JSGL1,20,50,25
Android架构师-抖音社交,客户端,上海,JVPC1,5,60,35
Flutter工程师-移动平台部,客户端,北京,81WJ1,10,50,25
Android开发高级工程师,客户端,北京,J57L1,3,40,20
iOS开发（高级）工程师,客户端,杭州,J3DU1,10,60,30
Android SDK研发工程师（厂商技术方向）,客户端,深圳,RC451,5,60,30
iOS高级研发工程师_抖音/直播,客户端,北京,JUXVP,5,70,30
C++/PC客户端研发工程师（XR相关方向）,客户端,深圳,5DPV,4,60,30
Android 研发工程师 - 短视频（上海）,客户端,上海,JMS3P,10,70,25
iOS 开发（高级）工程师 — 开放平台方向,客户端,北京,R48Q1,5,50,25
客户端研发Leader-抖音电商C端,客户端,上海,JRPRP,3,65,45
资深Android研发工程师—商业化,客户端,北京,J3GSP,10,80,40
Android（高级）开发工程师 - 国际化电商,客户端,广州,J89S2,10,40,20
iOS（高级）开发工程师 - 国际化电商,客户端,广州,EKS2,10,40,20
Unity3D开发工程师（创新项目方向）-朝夕光年,客户端,杭州,54W1,3,40,20
客户端底层开发工程师-飞书,客户端,广州,XES2,3,50,25
高级Android开发工程师 — 剪映/相机,客户端,三亚,J7SAP,10,60,30
Android/iOS开发工程师 — 教育产品,客户端,北京,8UGH1,20,40,20
客户端高级工程师 - 隐私合规,客户端,北京,H89P,5,60,30
UE4客户端技术专家-绿洲-朝夕光年,客户端,北京,JRXKP,3,80,40
Unity3D引擎开发工程师（大世界管线）-朝夕光年,客户端,杭州,8P6W1,3,40,20
Android研发工程师 — 住小帮,客户端,杭州,JEM3P,10,50,30
iOS 开发工程师—今日头条关系探索方向,客户端,北京,VSS2,10,50,25
音视频开发工程师-今日头条,客户端,广州,997P,15,50,25
Android开发高级工程师 - 学浪,客户端,北京,8MN1,5,50,25
iOS研发工程师 - 国际化短视频,客户端,上海,JAX3P,10,50,25
Android架构师-抖音电商C端,客户端,上海,BPTP,10,55,35
UE5高级开发工程师 (数字人方向) -朝夕光年,客户端,杭州,AJ22,1,45,30
Android开发工程师—头条搜索,客户端,广州,JLYQ2,1,50,25
